"Origin","Recipient","Average no samples per year","Region_origin","Region_recipient"
"India","Republic of Korea",0.266666666666667,"South Asia","East Asia"
"India","Sudan (former)",0.266666666666667,"South Asia","East Africa"
"India","Turkey",0.4,"South Asia","West Asia"
"India","United Kingdom",0.133333333333333,"South Asia","NW Europe"
"India","United States of America",0.133333333333333,"South Asia","North America"
"Indonesia","Canada",0.266666666666667,"Southeast Asia","North America"
"Indonesia","Chile",0.133333333333333,"Southeast Asia","Andes"
"Iran (Islamic Republic of)","Belarus",0.133333333333333,"West Asia","NE Europe"
"Iran (Islamic Republic of)","Canada",48.9333333333333,"West Asia","North America"
"Iran (Islamic Republic of)","China",3.46666666666667,"West Asia","East Asia"
"Iran (Islamic Republic of)","Egypt",0.133333333333333,"West Asia","SE Mediterranean"
"Iran (Islamic Republic of)","France",0.266666666666667,"West Asia","NW Europe"
"Iran (Islamic Republic of)","Germany",1.33333333333333,"West Asia","NW Europe"
"Iran (Islamic Republic of)","Iran (Islamic Republic of)",3.73333333333333,"West Asia","West Asia"
"Iran (Islamic Republic of)","New Zealand",0.533333333333333,"West Asia","Australia New Zealand"
"Iran (Islamic Republic of)","Pakistan",0.133333333333333,"West Asia","West Asia"
"Iran (Islamic Republic of)","Poland",3.06666666666667,"West Asia","NE Europe"
"Iran (Islamic Republic of)","Russian Federation",0.4,"West Asia","NE Europe"
"Iran (Islamic Republic of)","Ukraine",0.666666666666667,"West Asia","NE Europe"
"Iran (Islamic Republic of)","United Kingdom",3.46666666666667,"West Asia","NW Europe"
"Iran (Islamic Republic of)","United States of America",1.73333333333333,"West Asia","North America"
"Iraq","Belarus",0.133333333333333,"West Asia","NE Europe"
"Iraq","Canada",14.6666666666667,"West Asia","North America"
"Iraq","China",0.533333333333333,"West Asia","East Asia"
"Iraq","Denmark",0.133333333333333,"West Asia","NW Europe"
"Iraq","Iran (Islamic Republic of)",0.133333333333333,"West Asia","West Asia"
"Iraq","Poland",2.4,"West Asia","NE Europe"
"Iraq","Russian Federation",0.666666666666667,"West Asia","NE Europe"
"Iraq","Ukraine",0.4,"West Asia","NE Europe"
"Iraq","United States of America",0.133333333333333,"West Asia","North America"
"Ireland","Canada",1.46666666666667,"NW Europe","North America"
"Ireland","China",0.133333333333333,"NW Europe","East Asia"
"Ireland","Germany",0.133333333333333,"NW Europe","NW Europe"
"Israel","Belarus",0.133333333333333,"West Asia","NE Europe"
"Israel","Canada",7.86666666666667,"West Asia","North America"
"Israel","China",1.06666666666667,"West Asia","East Asia"
"Israel","China, Taiwan Province of",0.133333333333333,"West Asia","East Asia"
"Israel","Denmark",0.666666666666667,"West Asia","NW Europe"
"Israel","Germany",0.533333333333333,"West Asia","NW Europe"
"Israel","Iran (Islamic Republic of)",0.133333333333333,"West Asia","West Asia"
"Israel","Jordan",0.8,"West Asia","West Asia"
"Israel","Poland",1.33333333333333,"West Asia","NE Europe"
"Israel","Republic of Korea",0.133333333333333,"West Asia","East Asia"
"Israel","Ukraine",0.533333333333333,"West Asia","NE Europe"
"Israel","United Kingdom",0.533333333333333,"West Asia","NW Europe"
"Israel","United States of America",0.266666666666667,"West Asia","North America"
"Italy","Belarus",0.133333333333333,"SW Europe","NE Europe"
"Italy","Canada",20.4,"SW Europe","North America"
"Italy","Chile",0.533333333333333,"SW Europe","Andes"
"Italy","China",0.533333333333333,"SW Europe","East Asia"
"Italy","France",0.4,"SW Europe","NW Europe"
"Italy","Germany",0.533333333333333,"SW Europe","NW Europe"
"Italy","Iran (Islamic Republic of)",0.133333333333333,"SW Europe","West Asia"
"Italy","Japan",0.133333333333333,"SW Europe","East Asia"
"Italy","Pakistan",0.133333333333333,"SW Europe","West Asia"
"Italy","Poland",1.86666666666667,"SW Europe","NE Europe"
"Italy","Republic of Korea",0.133333333333333,"SW Europe","East Asia"
"Italy","United Kingdom",0.533333333333333,"SW Europe","NW Europe"
"Italy","United States of America",0.533333333333333,"SW Europe","North America"
"Japan","Bulgaria",0.133333333333333,"East Asia","SE Europe"
"Japan","Canada",23.6,"East Asia","North America"
"Japan","Chile",0.933333333333333,"East Asia","Andes"
"Japan","China",0.133333333333333,"East Asia","East Asia"
"Japan","China, Taiwan Province of",1.33333333333333,"East Asia","East Asia"
"Japan","Germany",0.666666666666667,"East Asia","NW Europe"
"Japan","Pakistan",0.133333333333333,"East Asia","West Asia"
"Japan","Poland",0.4,"East Asia","NE Europe"
"Japan","Romania",0.4,"East Asia","NE Europe"
"Jordan","Canada",3.06666666666667,"West Asia","North America"
"Jordan","Denmark",0.933333333333333,"West Asia","NW Europe"
"Jordan","Iran (Islamic Republic of)",0.133333333333333,"West Asia","West Asia"
"Jordan","Jordan",0.533333333333333,"West Asia","West Asia"
"Jordan","Poland",1.06666666666667,"West Asia","NE Europe"
